in:dy_4,in:dx_0,in:dy_0,out:Deflection,out:Mass,img
-1.2,0.6,-1,0.09946,186.652871,dy_4-1.2_dx_00.6_dy_0-1.png
-0.4,0.6,-1,0.140125,198.358925,dy_4-0.4_dx_00.6_dy_0-1.png
0.4,0.6,-1,0.141531,215.65036,dy_40.4_dx_00.6_dy_0-1.png
1.2,0.6,-1,0.104223,238.060651,dy_41.2_dx_00.6_dy_0-1.png
2,0.6,-1,0.083392,264.409102,dy_42_dx_00.6_dy_0-1.png
-2,1,-1,0.074858,172.519811,dy_4-2_dx_01_dy_0-1.png
-1.2,1,-1,0.1004,180.520973,dy_4-1.2_dx_01_dy_0-1.png
-0.4,1,-1,0.148132,193.17221,dy_4-0.4_dx_01_dy_0-1.png
0.4,1,-1,0.151109,210.955633,dy_40.4_dx_01_dy_0-1.png
1.2,1,-1,0.109251,233.66444,dy_41.2_dx_01_dy_0-1.png
2,1,-1,0.086369,260.21255,dy_42_dx_01_dy_0-1.png
-2,-1,0,0.159264,210.023475,dy_4-2_dx_0-1_dy_00.png
-1.2,-1,0,0.280132,202.222065,dy_4-1.2_dx_0-1_dy_00.png
-0.4,-1,0,0.340215,203.929481,dy_4-0.4_dx_0-1_dy_00.png
0.4,-1,0,0.191599,214.611727,dy_40.4_dx_0-1_dy_00.png
1.2,-1,0,0.107392,232.663575,dy_41.2_dx_0-1_dy_00.png
2,-1,0,0.079513,256.035085,dy_42_dx_0-1_dy_00.png
-2,-0.6,0,0.154152,195.435191,dy_4-2_dx_0-0.6_dy_00.png
-1.2,-0.6,0,0.256782,187.778887,dy_4-1.2_dx_0-0.6_dy_00.png
-0.4,-0.6,0,0.2654,190.527713,dy_4-0.4_dx_0-0.6_dy_00.png
0.4,-0.6,0,0.168998,202.436924,dy_40.4_dx_0-0.6_dy_00.png
1.2,-0.6,0,0.103276,221.531498,dy_41.2_dx_0-0.6_dy_00.png
2,-0.6,0,0.078819,245.711817,dy_42_dx_0-0.6_dy_00.png
-2,-0.2,0,0.143682,182.504355,dy_4-2_dx_0-0.2_dy_00.png
-1.2,-0.2,0,0.222886,175.062369,dy_4-1.2_dx_0-0.2_dy_00.png
-0.4,-0.2,0,0.211466,179.210629,dy_4-0.4_dx_0-0.2_dy_00.png
0.4,-0.2,0,0.155546,192.537652,dy_40.4_dx_0-0.2_dy_00.png
1.2,-0.2,0,0.102342,212.704327,dy_41.2_dx_0-0.2_dy_00.png
2,-0.2,0,0.079839,237.656649,dy_42_dx_0-0.2_dy_00.png
-2,0.2,0,0.122407,170.843095,dy_4-2_dx_00.2_dy_00.png
-1.2,0.2,0,0.179664,163.745579,dy_4-1.2_dx_00.2_dy_00.png
-0.4,0.2,0,0.17935,169.809075,dy_4-0.4_dx_00.2_dy_00.png
0.4,0.2,0,0.152136,184.694678,dy_40.4_dx_00.2_dy_00.png
1.2,0.2,0,0.104952,205.88766,dy_41.2_dx_00.2_dy_00.png
2,0.2,0,0.082578,231.524581,dy_42_dx_00.2_dy_00.png
-2,0.6,0,0.09264,160.222739,dy_4-2_dx_00.6_dy_00.png
-1.2,0.6,0,0.139364,153.746936,dy_4-1.2_dx_00.6_dy_00.png
-0.4,0.6,0,0.169341,162.390447,dy_4-0.4_dx_00.6_dy_00.png
0.4,0.6,0,0.159612,178.805325,dy_40.4_dx_00.6_dy_00.png
1.2,0.6,0,0.111185,200.864667,dy_41.2_dx_00.6_dy_00.png
2,0.6,0,0.086874,227.039791,dy_42_dx_00.6_dy_00.png
-2,1,0,0.083895,150.942266,dy_4-2_dx_01_dy_00.png
-1.2,1,0,0.121673,145.698835,dy_4-1.2_dx_01_dy_00.png
-0.4,1,0,0.181225,157.308436,dy_4-0.4_dx_01_dy_00.png
0.4,1,0,0.1786,174.874786,dy_40.4_dx_01_dy_00.png
1.2,1,0,0.120716,197.503385,dy_41.2_dx_01_dy_00.png
2,1,0,0.092383,224.013118,dy_42_dx_01_dy_00.png
-2,-1,1.0,0.102394,196.303485,dy_4-2_dx_0-1_dy_01.0.png
-1.2,-1,1.0,0.26781,181.588258,dy_4-1.2_dx_0-1_dy_01.0.png
-0.4,-1,1.0,1.735219,176.381857,dy_4-0.4_dx_0-1_dy_01.0.png
0.4,-1,1.0,0.396432,181.824562,dy_40.4_dx_0-1_dy_01.0.png
1.2,-1,1.0,0.136627,196.533413,dy_41.2_dx_0-1_dy_01.0.png
2,-1,1.0,0.08788,217.884395,dy_42_dx_0-1_dy_01.0.png
-2,-0.6,1.0,0.084598,185.786794,dy_4-2_dx_0-0.6_dy_01.0.png
-1.2,-0.6,1.0,0.229059,170.030156,dy_4-1.2_dx_0-0.6_dy_01.0.png
-0.4,-0.6,1.0,1.437541,164.678649,dy_4-0.4_dx_0-0.6_dy_01.0.png
0.4,-0.6,1.0,0.364602,171.004815,dy_40.4_dx_0-0.6_dy_01.0.png
1.2,-0.6,1.0,0.142638,186.947537,dy_41.2_dx_0-0.6_dy_01.0.png
2,-0.6,1.0,0.095242,209.39949,dy_42_dx_0-0.6_dy_01.0.png
-2,-0.2,1.0,0.089137,177.350707,dy_4-2_dx_0-0.2_dy_01.0.png
-1.2,-0.2,1.0,0.183244,160.194637,dy_4-1.2_dx_0-0.2_dy_01.0.png
-0.4,-0.2,1.0,1.116234,154.628812,dy_4-0.4_dx_0-0.2_dy_01.0.png
0.4,-0.2,1.0,0.355018,162.183724,dy_40.4_dx_0-0.2_dy_01.0.png
1.2,-0.2,1.0,0.153836,179.604889,dy_41.2_dx_0-0.2_dy_01.0.png
2,-0.2,1.0,0.104337,203.217205,dy_42_dx_0-0.2_dy_01.0.png
-2,0.2,1.0,0.111353,170.302982,dy_4-2_dx_00.2_dy_01.0.png
-1.2,0.2,1.0,0.167402,151.231675,dy_4-1.2_dx_00.2_dy_01.0.png
-0.4,0.2,1.0,0.8275,145.32138,dy_4-0.4_dx_00.2_dy_01.0.png
0.4,0.2,1.0,0.373283,154.656278,dy_40.4_dx_00.2_dy_01.0.png
1.2,0.2,1.0,0.168737,173.782889,dy_41.2_dx_00.2_dy_01.0.png
2,0.2,1.0,0.113565,198.536798,dy_42_dx_00.2_dy_01.0.png
-2,0.6,1.0,0.125824,164.718125,dy_4-2_dx_00.6_dy_01.0.png
-1.2,0.6,1.0,0.193052,143.066803,dy_4-1.2_dx_00.6_dy_01.0.png
-0.4,0.6,1.0,0.647131,136.534796,dy_4-0.4_dx_00.6_dy_01.0.png
0.4,0.6,1.0,0.421232,148.522131,dy_40.4_dx_00.6_dy_01.0.png
1.2,0.6,1.0,0.185102,169.426299,dy_41.2_dx_00.6_dy_01.0.png
2,0.6,1.0,0.121856,195.170605,dy_42_dx_00.6_dy_01.0.png
-2,1,1.0,0.135509,161.061027,dy_4-2_dx_01_dy_01.0.png
-1.2,1,1.0,0.225907,136.443615,dy_4-1.2_dx_01_dy_01.0.png
-0.4,1,1.0,0.623185,128.679236,dy_4-0.4_dx_01_dy_01.0.png
0.4,1,1.0,0.495569,144.380555,dy_40.4_dx_01_dy_01.0.png
1.2,1,1.0,0.20087,166.711395,dy_41.2_dx_01_dy_01.0.png
2,1,1.0,0.128753,193.121376,dy_42_dx_01_dy_01.0.png
-2,-1,2,0.114326,205.160963,dy_4-2_dx_0-1_dy_02.png
-1.2,-1,2,0.185506,185.71135,dy_4-1.2_dx_0-1_dy_02.png
-0.4,-1,2,0.87476,173.903256,dy_4-0.4_dx_0-1_dy_02.png
0.4,-1,2,1.220921,172.233878,dy_40.4_dx_0-1_dy_02.png
1.2,-1,2,0.167272,181.206317,dy_41.2_dx_0-1_dy_02.png
2,-1,2,0.080341,198.783011,dy_42_dx_0-1_dy_02.png
-2,-0.6,2,0.137487,197.53985,dy_4-2_dx_0-0.6_dy_02.png
-1.2,-0.6,2,0.209719,176.892173,dy_4-1.2_dx_0-0.6_dy_02.png
-0.4,-0.6,2,0.810093,163.935083,dy_4-0.4_dx_0-0.6_dy_02.png
0.4,-0.6,2,1.129091,161.840748,dy_40.4_dx_0-0.6_dy_02.png
1.2,-0.6,2,0.13719,171.48883,dy_41.2_dx_0-0.6_dy_02.png
2,-0.6,2,0.095121,190.276211,dy_42_dx_0-0.6_dy_02.png
-2,-0.2,2,0.146818,191.639045,dy_4-2_dx_0-0.2_dy_02.png
-1.2,-0.2,2,0.236896,169.652763,dy_4-1.2_dx_0-0.2_dy_02.png
-0.4,-0.2,2,0.797334,155.208816,dy_4-0.4_dx_0-0.2_dy_02.png
0.4,-0.2,2,0.986131,152.493566,dy_40.4_dx_0-0.2_dy_02.png
1.2,-0.2,2,0.171774,163.108691,dy_41.2_dx_0-0.2_dy_02.png
2,-0.2,2,0.138733,183.403132,dy_42_dx_0-0.2_dy_02.png
-2,0.2,2,0.149838,186.929614,dy_4-2_dx_00.2_dy_02.png
-1.2,0.2,2,0.256038,163.532883,dy_4-1.2_dx_00.2_dy_02.png
-0.4,0.2,2,0.850361,147.171445,dy_4-0.4_dx_00.2_dy_02.png
0.4,0.2,2,0.804194,143.476966,dy_40.4_dx_00.2_dy_02.png
1.2,0.2,2,0.217164,155.563329,dy_41.2_dx_00.2_dy_02.png
2,0.2,2,0.144801,177.692058,dy_42_dx_00.2_dy_02.png
-2,0.6,2,0.150756,183.442729,dy_4-2_dx_00.6_dy_02.png
-1.2,0.6,2,0.270006,158.728864,dy_4-1.2_dx_00.6_dy_02.png
-0.4,0.6,2,0.971925,140.023791,dy_4-0.4_dx_00.6_dy_02.png
0.4,0.6,2,0.703053,134.620644,dy_40.4_dx_00.6_dy_02.png
1.2,0.6,2,0.231373,149.108718,dy_41.2_dx_00.6_dy_02.png
2,0.6,2,0.143493,173.294123,dy_42_dx_00.6_dy_02.png
-2,1,2,0.1527,181.324695,dy_4-2_dx_01_dy_02.png
-1.2,1,2,0.28212,155.665647,dy_4-1.2_dx_01_dy_02.png
-0.4,1,2,1.150816,134.656674,dy_4-0.4_dx_01_dy_02.png
0.4,1,2,0.781764,125.947945,dy_40.4_dx_01_dy_02.png
1.2,1,2,0.238116,144.554247,dy_41.2_dx_01_dy_02.png
2,1,2,0.142514,170.538657,dy_42_dx_01_dy_02.png
-2,-1,3,0.083427,241.626598,dy_4-2_dx_0-1_dy_03.png
-1.2,-1,3,0.121983,219.574887,dy_4-1.2_dx_0-1_dy_03.png
-0.4,-1,3,0.251759,203.525665,dy_4-0.4_dx_0-1_dy_03.png
0.4,-1,3,0.457455,195.656429,dy_40.4_dx_0-1_dy_03.png
1.2,-1,3,0.26667,197.448762,dy_41.2_dx_0-1_dy_03.png
2,-1,3,0.131185,208.825598,dy_42_dx_0-1_dy_03.png
-2,-0.6,3,0.082983,231.337405,dy_4-2_dx_0-0.6_dy_03.png
-1.2,-0.6,3,0.11652,208.36303,dy_4-1.2_dx_0-0.6_dy_03.png
-0.4,-0.6,3,0.213678,191.159624,dy_4-0.4_dx_0-0.6_dy_03.png
0.4,-0.6,3,0.357013,182.079702,dy_40.4_dx_0-0.6_dy_03.png
1.2,-0.6,3,0.263008,183.196391,dy_41.2_dx_0-0.6_dy_03.png
2,-0.6,3,0.117163,194.998185,dy_42_dx_0-0.6_dy_03.png
-2,-0.2,3,0.084689,223.45397,dy_4-2_dx_0-0.2_dy_03.png
-1.2,-0.2,3,0.115363,199.569602,dy_4-1.2_dx_0-0.2_dy_03.png
-0.4,-0.2,3,0.189929,181.115609,dy_4-0.4_dx_0-0.2_dy_03.png
0.4,-0.2,3,0.27366,170.528626,dy_40.4_dx_0-0.2_dy_03.png
1.2,-0.2,3,0.255766,170.678273,dy_41.2_dx_0-0.2_dy_03.png
2,-0.2,3,0.097371,183.100981,dy_42_dx_0-0.2_dy_03.png
-2,0.2,3,0.088517,217.525969,dy_4-2_dx_00.2_dy_03.png
-1.2,0.2,3,0.1191,192.807808,dy_4-1.2_dx_00.2_dy_03.png
-0.4,0.2,3,0.181673,173.083739,dy_4-0.4_dx_00.2_dy_03.png
0.4,0.2,3,0.21595,160.662468,dy_40.4_dx_00.2_dy_03.png
1.2,0.2,3,0.23954,159.340876,dy_41.2_dx_00.2_dy_03.png
2,0.2,3,0.080344,172.742814,dy_42_dx_00.2_dy_03.png
-2,0.6,3,0.094187,213.249836,dy_4-2_dx_00.6_dy_03.png
-1.2,0.6,3,0.127872,187.85655,dy_4-1.2_dx_00.6_dy_03.png
-0.4,0.6,3,0.190144,166.993453,dy_4-0.4_dx_00.6_dy_03.png
0.4,0.6,3,0.189322,152.515507,dy_40.4_dx_00.6_dy_03.png
1.2,0.6,3,0.200908,148.792205,dy_41.2_dx_00.6_dy_03.png
2,0.6,3,0.07873,163.90281,dy_42_dx_00.6_dy_03.png
-2,1,3,0.101165,210.450813,dy_4-2_dx_01_dy_03.png
-1.2,1,3,0.141167,184.628318,dy_4-1.2_dx_01_dy_03.png
-0.4,1,3,0.216464,162.977391,dy_4-0.4_dx_01_dy_03.png
0.4,1,3,0.194726,146.700439,dy_40.4_dx_01_dy_03.png
1.2,1,3,0.140459,138.858908,dy_41.2_dx_01_dy_03.png
2,1,3,0.088339,157.275096,dy_42_dx_01_dy_03.png
